Dr. Charles L. Sifford Golf Course,35.2137505,-80.87856369999997,"1225 Remount Rd, Charlotte, NC 28208",16,26,07:00:00,19:00:00,2.8,http://i.imgur.com/yzuzpAW.jpg,true
The Golf Club at Ballantyne,35.056435,-80.84809439999998,"10000 Ballantyne Commons Pkwy, Charlotte, NC 28277",47,60,07:00:00,19:00:00,4.7,http://i.imgur.com/cNBlSf8.jpg,true
Quail Hollow Club,35.117395,-80.84222799999998,"3700 Gleneagles Rd, Charlotte, NC 28210",45,60,07:30:00,19:00:00,4.5,http://i.imgur.com/sU1soGN.jpg,true
The Club at Longview,35.0287707,-80.7911871,"8801 Longview Club Drive, Waxhaw, NC 28173",30,43,09:00:00,21:00:00,4.4,http://i.imgur.com/GzNRsrK.jpg,true
Springfield Golf Club,35.0393119,-80.91116850000003,"639 Hambley House Ln, Fort Mill, SC 29715",26,38,07:30:00,19:00:00,4.3,http://i.imgur.com/rXYyD0B.jpg,true
Carolina Golf Club,35.21723600000001,-80.90136799999999,"2415 Old Steele Creek Rd, Charlotte, NC 28208",42,55,07:30:00,19:00:00,4.2,http://i.imgur.com/yzuzpAW.jpg,true
Myers Park Country Club Golf,35.1790499,-80.834115,"2415 Roswell Ave, Charlotte, NC 28209",38,50,10:00:00,22:00:00,3.8,http://i.imgur.com/zPds8uY.jpg,true
The Tradition Golf Club,35.350813,-80.77435300000002,"3800 Prosperity Church Rd, Charlotte, NC 28269",26,40,07:00:00,19:00:00,3.7,http://i.imgur.com/mQJXaWk.jpg,true
Sunset Hills Public Golf Course,35.308686,-80.88716499999998,"800 Radio Rd, Charlotte, NC 28216",33,48,06:30:00,17:30:00,1.8,http://i.imgur.com/aE3JLSl.jpg,true
NorthStone Country Club,35.4325983,-80.82214729999998,"15801 Northstone Dr, Huntersville, NC 28078",28,45,10:00:00,22:00:00,2.4,http://i.imgur.com/hzyGwtA.jpg,true
Charlotte Country Club,35.229911,-80.79206899999997,"2465 Mecklenburg Ave, Charlotte, NC 28205",46,60,07:30:00,19:00:00,4.7,http://i.imgur.com/ZuhXB46.jpg,true
Cedarwood Country Club,35.0942357,-80.7953546,"4100 Pineville-Matthews Rd, Charlotte, NC 28226",22,38,09:00:00,21:00:00,4.5,http://i.imgur.com/PRE6Ces.jpg,true
Larkhaven Golf Club,35.24015320000001,-80.64966319999996,"4801 Camp Stewart Road, Charlotte, NC 28215",35,50,09:00:00,21:00:00,3.3,http://i.imgur.com/sfqsxyZ.jpg,true